category,datetime,image_1,image_2,name,page,tag,url
chairs,2021-01-05 18:14:30.951335,https://st.hzcdn.com/fimgs/4451a29c080a7f73_7543-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/171164d9080a7f74_7543-w65-h65-b1-p0--.jpg,"Colter Leather Dining Arm Chair with Steel Legs, Black",1,"Black Colter Dining Arm Chair,Colter Arm Chair,Colter Armchairs,Colter Leather Dining Arm Chair with Steel Legs,Dark Grey Colter Dining Arm Chair,Mink Colter Dining Arm Chair,modern leather dining chair,Nuevo Colter Arm Chair,Nuevo Colter Leather Dining Arm Chair with Steel Legs,Nuevo Living Colter Arm Chair",https://www.houzz.com/products/colter-leather-dining-arm-chair-with-steel-legs-black-prvw-vr~128568875
chairs,2021-01-05 18:14:31.504666,https://st.hzcdn.com/fimgs/2ab153b90b451e9a_6045-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/d931eec50b451e9d_6479-w65-h65-b1-p0--.jpg,"Picket House Furnishings Avery Accent Arm Chair, Teal",1,"accent chairs,blue chair,red accents,red chairs",https://www.houzz.com/products/picket-house-furnishings-avery-accent-arm-chair-teal-prvw-vr~123107807
chairs,2021-01-05 18:14:31.532604,https://st.hzcdn.com/fimgs/8041449b0c6edb30_3070-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/415150560c6edb31_3070-w65-h65-b1-p0--.jpg,"Sydney Swivel Chair, Coastal Gray",1,"arm chair,dining chair,modern,modern chair,occational chair,stainless steele chair,sunpan,sunpan chair,sunpan modern,sunpan modern chair,swivel chair",https://www.houzz.com/products/sydney-swivel-chair-coastal-gray-prvw-vr~124129059
chairs,2021-01-05 18:14:31.734709,https://st.hzcdn.com/fimgs/57c188660b870527_2677-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/b65196b00b87052e_4820-w65-h65-b1-p0--.jpg,"Milano Dining Chair, Off-White",1,"black and white,contemporary,cream,curved,curved chair,Dining,dining chair,dining chairs,dining room,eggshell,leather,metal,modern,off white,white",https://www.houzz.com/products/milano-dining-chair-off-white-prvw-vr~126424977
chairs,2021-01-05 18:14:31.788467,https://st.hzcdn.com/fimgs/1da1bc420ae8ffdc_7477-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/c53158020af36baf_7477-w65-h65-b1-p0--.jpg,"Giselle Velvet Dining Chairs, Set of 2, Black, Gold Base",1,"accent chair,armless,Dining,elegant,metal,modern,traditional,upholstered,velvet",https://www.houzz.com/products/giselle-velvet-dining-chairs-set-of-2-black-gold-base-prvw-vr~118265665
chairs,2021-01-05 18:14:31.912306,https://st.hzcdn.com/fimgs/0681d9590eeaedd5_9994-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/131106730eeaede8_9994-w65-h65-b1-p0--.jpg,"Poly and Bark Cafton Crossback Chair, Set of 2, Cork Brown",1,,https://www.houzz.com/products/poly-and-bark-cafton-crossback-chair-set-of-2-cork-brown-prvw-vr~142494204
chairs,2021-01-05 18:14:32.012678,https://st.hzcdn.com/fimgs/e991ce2f07102df0_5562-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1671e4ab07102df1_8135-w65-h65-b0-p0--.jpg,Savonarola Chair,1,"chair,chairs,Dark brown chair,dark brown chairs,design toscano,furniture,hand carved chairs,renaissance chair,renaissance chairs,Savonarola chair,savonarola chair hand carved chairs,savonarola chairs,solid chair chairs,solid wood chair",https://www.houzz.com/products/savonarola-chair-prvw-vr~52871029
chairs,2021-01-05 18:14:32.292946,https://st.hzcdn.com/simgs/828106e40b046a2f_4-5612/home-design.jpg,,"Hannah Velvet Dining Chairs, Set of 2, Black",1,"accent chair,beige,Best,black,chair,contemporary,contemporary chair,cream,grey,meridian,meridian furniture,modern,nailhead chair,navy,pink,sky blue,transitional,tufted chair,velvet,velvet chair",https://www.houzz.com/products/hannah-velvet-dining-chairs-set-of-2-black-prvw-vr~118265710
chairs,2021-01-05 18:14:32.634220,https://st.hzcdn.com/simgs/e741fbca0f7606be_4-6077/home-design.jpg,,"Gamlin Gray Counter Stool, 26""",1,"counter,gamlin gray,stool,uttermost",https://www.houzz.com/products/gamlin-gray-counter-stool-26-prvw-vr~160104018
chairs,2021-01-05 18:14:32.917033,https://st.hzcdn.com/fimgs/b3a1b3160f27b2df_0488-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/25b18d4e0f27b2e9_0488-w65-h65-b1-p0--.jpg,"High Wingback Linen Armchair, Purple",1,"accent chair,accent chairs tufted nailhead chair,classic chair,club chair,high back chair,leather armchair,leather chair leather wingback chair,linen chair,living lounge chair,living room chair,modern chair,nailhead chair,recliner chairs,relax chair,tufted chair,velvet chair,wingback chair",https://www.houzz.com/products/high-wingback-linen-armchair-purple-prvw-vr~162656509
